requirements,class
"have the lights turn off automatically if it senses no motion, I can save money.",Energy
"Room thermostat sensor, The room is optimal temperature for an occupant .",Energy
"My home to alert me to dangerous situations in my surrounding area, I can keep my family safe..",Safety
"smarthome feature that alerts me when certain cabinets are being opened, I can help keep my children from getting into anything dangerous by accident.",Safety
"tiles that can sense water, so that I can clean the water right away and no one slips..",Safety
"a self sustaining greenhouse, my plants will always be taken care of and watered properly.",Energy
"have my home alert me to energy problems such as drafts or cold air flows during winter, I can save money.",Energy
"sensors on the bathtub, if I fall the paramedics will be called.",Safety
"to be able to turn on the lights in my house when I am not home, I can make it appear that someone is home..",Safety
"remote wireless access to surveillance cameras, I can keep an eye on my home in real time even when I am away..",Safety
"a system that will turn on sprinklers and automatically open windows and drop down ladders in the case of a fire, my family can quickly evacuate.",Safety
"to have a notification to my smartphone about energy use and rate., I can save energy and use it at the best time..",Energy
"water to turn off when I am brushing my teeth, I don't have to do it.",Energy
"a smart water heater , it will alert me when it needs maintenance and also adjust water temperature for times when the house is empty.",Safety
"want my sprinklers to turn off after 3 minutes, so that i will use less water.",Energy
"my shower to turn on when my alarm goes off., My shower will be warm when I get up..",Energy
"smarthome feature that alerts me when any medium or large animals are near my house outside, I can feel safer when I let my small dogs out at night.",Safety
"I want the lights turned off after 6 am if nobody is at home, none will know that nobody is not at home..",Safety
"have solar power, coal doesn't pollute the air to power my home.",Energy
"a comfortable temperature, the temperature doesn't vary between 68-76 degrees.",Energy
"save time cleaning so automatic cleaner, I spend moretime with kids.",Energy
"to be able to call the police by voice command, I could call help when i can't reach other means of communication.",Safety
"automsted light , So that if I forget to turn off the lamp it will happen on its own .",Energy
"a voice controlled door and window lock, I don't miss any.",Safety
"my smart home to use facial regongnition when unidentified people are on my property,, my family is safe and they can be properly identified. .",Safety
"the fireplace to turn on as soon as I enter the living room, I can be warm and comfortable in the winter.",Energy
"it to watch people who get close to the house and alert the homeowner if they are suspicious., the homeowner knows if someone might break in or might steal something outside like mail..",Safety
"smart breakfast appliances, my toddler doesn't flood the house.",Safety
"should monitor when the tv is on and what kind of shows my kid sees, i will guide her well.",Safety
"an auto-eject feature in my car,, I am automatically ejected from the vehicle if something hits it..",Safety
"my smart home to send an alert to my phone when my children cut any electronics on after 10 pm., energy can be saved and I can monitor their computer usage..",Energy
"to shut off my hot water heaters when I am not at home , I save energy by not heating water when I don't need it..",Energy
"a nightlight that I can turn off with my smartphone after my child is asleep, I don't wake them up and it does not stay on all night..",Energy
"my doors to lock up automatically after a mentioned time, we can prevent theft and other burglary .",Safety
"to control temperature and spray of my shower, so that I can save on energy costs..",Energy
"a 360 roaming camera around my house, i can see what is going on without being there and it won't be just stationed in one corner.",Safety
"a system that notifies me when I'm using too much energy, I can save money on my monthly light bill.",Energy
"a way to view a live stream of my pet when I am out of the house, I can make sure my pet is all right.",Safety
"to be able to easily check if all doors in the house are locked via an app or voice command, I can be sure my family and belongings are safe at night or when away from home..",Safety
"to be notified by my smarthome when my energy consumption (electricity, gas) is higher than usual, I can adjust accordingly and save money on energy bills..",Energy
"an alert that lets me know when I've left the oven on when not in use, I can prevent a fire and save energy.",Safety
"my smart home to alert me if water is left on outside, I can save money on my water bill during the summer.",Energy
"wall chargers to only come on when I'm actually using them, i can save energy and money.",Energy
"my smart home to shut off the air when the room is at the right temperature , I can save money on bills .",Energy
"motion sensors throughout the house, rooms which are empty turn off their lights and appliances, saving energy..",Energy
"lights and electronics that sense when i've fallen asleep and adjust automatically, i can save energy.",Energy
"smart carbon monoxide detectors, I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok.",Safety
"my water tank to make an before getting emply, I will start to refill my water tank.",Energy
"items to save energy, my bills arent high.",Energy
"an automatic door lock/unlock application, I can unlock/lock doors with a touch.",Safety
"chair sensor, It warns me if my chair has been moved so that I don't call on my butt when I try to sit down. .",Safety
"self retracting sky lights, sunlight can help to heat the home or prevent it from entering to keep it cool.",Energy
"I want to get alert calls when my kids reach home, I can remain calm..",Safety
"lights to be turned off when I leave a room, I can save anergy.",Energy
"my smart home to notify me on my cell when the smoke detectors' batteries are getting low , I don't have to hear the annoying nonstop beeping of the detecter at the most inconvenient times..",Safety
"my porch lights to be programmable to come on when it gets dark, I can see when I get home..",Energy
"a thermostat that takes the outdoor temperature and forecasts into account, I have reduced running time on the HVAC system..",Energy
"motion sensitive lighting, I can save energy and not have to worry about everyone in the house forgetting to turn the lights out.",Energy
"garage door open automatically when I arive with my car, no need to manually open garage dors.",Safety
"the temperature to always be changeable via a phone app, i can have all thermostats change to a specific temperature using just one device.",Energy
"My Smart Home to turn on/offlights at selected time, it may appear I am home..",Safety
"my smart home to remind me when my bills are due., I do not risk having my utilities disconnected due to late or non-payment.",Safety
"gas stove, to save energy.",Energy
"to be able to receive a notification via my smart watch/phone when someone or a vehicle enters the driveway, i can know when someone is outside.",Safety
"the house to automatically determine the right temperature to set the thermostat, I will save on my home heating bills.",Energy
"an alert when my child is getting close to the oven or places they shouldn't be., I can keep them safe..",Safety
"to control my solar panel with my smartphone, I can make sure there is enough power for the night.",Energy
"intercom, i can hear my children in the other room.",Safety
"a daily readout of utility useage per zone (kitchen, bathroom), I can learn how to save energy and lower bills.",Energy
"a roof made of solar panels that functions as a roof and an energy source, I can save electricity and money.",Energy
"sensors that tell me if someone or something leaves my house, I know if my kids are going outside if I am in another room.",Safety
"my smart house to have solar panels, I can save money on electricity .",Energy
"Rollup window blind sensors, The window blinds will open automatically during daylight hours and then close when it is dark..",Energy
"The outside lights to come one when I arrive in the parking lot., I have the added security when i arrive home..",Safety
"smar lighting system,, the mood will adjust based on the time of day and occupant's positions..",Energy
"Electronic usage monitor, I can tell how much energy I'm using real time.",Energy
"The electric switch should automatically  switch off lights, fans and TV when there is no one at home., So that I save on electric bills..",Energy
"I would like my smart home to turn off outlets where and appliances are plugged in at night and when I leave the house., I can save money on electricity.",Energy
"a voice activated warning when the energy cost is more than certain amount, I can tell everyone to be careful with their use of energy.",Energy
"lights to be activated and de-activated as I enter and leave a room, I can save energy.",Energy
"smart smoke and carbon monoxide monitor that is more interactive than a simple alarm that's confusing and frustrating, I can be assured I'm safe and don't have to mess to antiquated devices.",Safety
"floor heater turned on, the floor can warm my feet.",Energy
"remote access to outlets, I can turn them off to avoid energy vampires..",Energy
"my smart home to have smart lock, I know who enters my house or leaves and it can controlled by an app.",Safety
"digital readout of power usage for week, month, year, I can monitor my power consumption and estimate my costs.",Energy
"monitor when the baby is waking up from sleep, turn my concentration towards by baby.",Safety
"an smart voice recognizing with writing machine to write the subjects automatically by recognizing my voice, I can take some rest..",Energy
"my refrigerator to recognize, inventory, and display everything inside, I won't waste energy and time staring into it.",Energy
"my smart home to regulate ideal temperature according to my personal preferences and the outside temperature, I can be comfortable.",Energy
"my smart home to sense when my pet approaches the pet door and open for the pet to go out and come in, the pet door will not allow access to break ins but only allow my pets in and out.",Safety
"automatic lighting system which turns on light after getting dark, i don't need to worry about switching on and off lights when i am out of home..",Energy
"all lights in the house to respond to voice commands, I can easily turn them on and off when entering or leaving a room at night..",Safety
"a carbon monoxide and smoke monitor that has a display and smart features, I don't have to deal with old smoke detectors and monitors that I'm not even sure are working properly.",Safety
"control my blinds with a remote, adjust the light coming in during the day and provide privacy at night.",Energy
"my smart home to alert me when my children are not home by their usual time, I will know if they have gone missing.",Safety
"a robot that automatically shoots a net at any stranger that comes into my house, i can play around with the net and potentially catch a burglar in the unlikely event.",Energy
"the house to detect when there is smoke and shut off the appropriate appliances, I don't burning anything down.",Safety
"the temperature of the water to raise and lower as needed troughout the day, I am not always heating water that isn't being used.",Energy
"my smart home to track when different baby gates have been opened., no one accidentally leaves access to the stairs open for my child. .",Safety
"my smart home to notify me if the household's carbon footprint is getting too high,  we can be more environmentally responsible.",Energy
"an alarm system/sensor on the stairs, it will alert me when my child nears the stairs.",Safety
"my smart home to alarm me if danger, I can be safe.",Safety
"an alert automatic locks on the doors, they could all be locked at once..",Safety
"doors that lock automatically in the evening, I don't ever forget to lock them before bed.",Safety
"motion lights, I can see any intruders at night as they approach..",Safety
"a central air conditioning unit that automatically orders new air filters for itself when air quality diminishes, I can maximize energy efficiency and air health.",Energy
" Room thermostat sensor,, The room is optimal temperature for an occupant ..",Energy
"my electronic items to be periodically noted, as it might cause injury to my family members, I can change it or service it at appropriate time, make things for safety.",Safety
"my smart home to respond to voice commands to open or close the garage door, I don't have to go and close it at night, if it's open.",Safety
"my smart TV to switch to the sports channel when the sports game begins, I don't miss the game.",Energy
"A spoken alert, I can be alerted for unauthorized energy use.",Energy
"my smart home feature to monitor my infants breathing at a very young age, it would give me peace of mind with the SIDS epedemic that may occur during the early months of life.",Safety
"my smart home to notify me when my smart phone is full charged, i could remove it and not risk burning out the battery or wasting unnecessary energy .",Energy
"my smoke alarms would beep when the battery gets low., my family is safe from fires..",Safety
"outdoor motion detectors, I have an added measure of security of the property.",Safety
"make sure the doors are locked, The house will be secure.",Safety
"be able to set up electronic use monthly and have my smart home follow regulations i put forth, my children have guidelines and limited exposure to technology daily..",Safety
"automatic doors, they require a finger print or voice command to open.",Safety
"Sensors to adjust the lights based on my current activity. So if I sit down at the computer it will turn on the desk lamp, or if It sees me sitting on the couch with the TV on it will turn the lights to 50%, but if it sees me sitting on the couch with the TV off it knows I want to read, and will adjust lights accordingly. This could work for many rooms and activities. , Electricity will be saved..",Energy
"to control sprinklers, wont get wet.",Safety
"my heater to turn on when the temperature gets too low , so that my family will stay warm.",Energy
"Automatic lights, all the lights' temperature, shade, and position can be controlled with an app.",Energy
"my smart home to turn off the oven after a certain time, I wont burn the food.",Safety
"my smart home to make a sound when a package is left outside my door,, I collect them eimmediately.",Safety
"an app that lets me manage my AC/Heater, I can turn it off and on even if I am outside..",Energy
"an alarm system that i can monitor anywhere, i can make sure everyone is safe.",Safety
"to be able to control adding more food or water to my pet's dishes remotely, my pet won't run out of food or water while I'm gone.",Safety
"my smart home to have auto sprinklers, automatically watering of plants occurs.",Energy
"The temperature in each room to be monitored, if room is rarely used, keep it at a lower temp, and vice versa, I am not paying to heat a room that is rarely used..",Energy
"All power strips to automatically shut off when plugged in devices are fully charged, Eliminate wasting energy via plugs that aren't charging anything.",Energy
"to be notified when my crops need to be watered, i know when to water them.",Energy
"a panel to let me know if someone is trying to breach into my computer, I can prevent hackers from getting into my computer.",Safety
"the temperature in the bathroom to adjust , the mirrors in the bathroom begin to defog as soon as the water in the shower stops.",Energy
"to have high resolution and night vision camera for my baby, I know the second my baby is up and moving.",Safety
"an alarm to go off whenever someone who is under a certain height goes in the kitchen, my child wont be able to get into dangerous things in the kitchen. Such as; getting burned on the stove or getting into dangerous chemicals..",Safety
"solar Sheated floors/walls, we could stay warm in the winter.",Energy
"An alarm system that will warn me when my toilet is about to get clogged up, People can assess the problem before the clog happens.",Safety
"automatic locking doors, doors will lock automatically but unlock when I touch the knob via fingerprint sensor.",Safety
"a smart alarm, I will be protected from intruders..",Safety
"a coaster that keeps my beverage cold as if there was ice in it, It can stay cold and I won't waste more water by refilling with ice.",Energy
"a camera/alarm at the back door to alert me via sound and/or text message if the back door has been opened and left open, small children in my care can not leave the house and wander near the pool.",Safety
"individual room thermostats, I can control different temperatures in different rooms depending on usage..",Energy
"an alarm when someone comes into our driveway, we can be aware when someone is at our home.",Safety
"the shower temperature to be adjust based off the users pervious settings, it would cut back on the wait time for the bathroom, since the temperature is already preset for the users perferences. .",Energy
"measurements of what each appliance draws in voltage, I can conserve energy.",Energy
"the thermostat to automatically detect when we are in REM sleep to decrease the temperature, we save money and energy.",Energy
"a station that can automatically make biodiesel for my car, I can have really cheap gasoline to power my car..",Energy
"landscape lighting to be turned on when the exterior of the house (especially windows) are approached at night, criminals are deterred. .",Safety
"A/C automatically maintain the perfect temperature by calculating  past usage patterns., can be save on energy costs.",Energy
"a sliding shower head that adjusts to height, my children can take a shower on their own.",Safety
"my curtains and lights to adjust to morning, afternoon and evening, each room is inviting and energy efficient.",Energy
"my smart house to alert me about stppages in gutters and downspouts, flooding and water damage can be avoided..",Safety
"to be able to view all my homes systems from my smart phone, I can adjust these setting from anywhere..",Energy
"auto shut down feature for everything when we leave the home , we save  money on energy .",Energy
"Bluetooth home appliance automation, will control the appliance.",Safety
"the house to lock, cameras turned on, and the police notified when there is a break in, the culprit takes nothing and is caught.",Safety
"The front and back door to lock whenever my child under 8 years old tries to open it without entering a selected code, They will not open the door without permission, leave the house without my knowledge.",Safety
"a thermostat that learns my schedule and self-adjusts, I know I am saving as much as possible on my home heating costs..",Energy
"my washer and dryer to automatically clean, dry , and fold the laundry, all I do is put it away.",Energy
"an app that lets me manage my stove/gas, I can turn it off and on even if I am outside..",Safety
"my smart home to fully power down any device that is not in use for more than 30 minutes., I can save electricity..",Energy
"a device that adjusts the tomperature in the house according to the weather, I can save on bills..",Energy
"the window blinds to automatically open and close depending on the time of day, I can maintain my privacy and save on electricity.",Safety
"a smart thermostat, The house can be comfortable without wasting energy.",Energy
"a smart detector for lethal gases or smoke to go to my email and/or phone, even when I am not around I will be notified immediately..",Safety
"automated lighting in closets, when  I open my closet door, the light automatically comes on so that I can see adequately.",Energy
"my home to notify me when someone approaches the main door, I can be confident that the individual is not trying to break-in.",Safety
"a device that tells me when my pet gets into a room or something they're not meant to be in (i.e. the trash), I can get them soomer.",Safety
"alarms to go off when movement is triggered, i can feel safe in my home alone..",Safety
"Solar panels, I can save on electricity and reduce my carbon imprint.",Energy
"my home to alert me if my dog gets out of the yard, I can promptly retrieve my dog to prevent danger to my dog or to any people who might encounter him.",Safety
"cameras that turn on when someone pulls into the driveway and shows me who is coming, I can be prepared for visitors/intruders..",Safety
"my smart home to learn when I am not around and to turn off unnecessary items like TVs, coffeemaker, radio, etc., it will save me on electricity.",Energy
"a gas detector, if there's carbon monoxide or other poisonous gases inside, the authorities are notified.",Safety
"the lights to go off if there is movement in an hour, we can save energy.",Energy
"my home to turn off the television, mobile phones and computer until my children are done studying, my children can finish their homework without distractions.",Energy
"my smart home to alert my family when there is bad weather approaching, they can take the necessary steps to stay safe.",Safety
"a smart washing machine that turns on automatically or by remote command, the clothes are washed and ready to be placed in the dryer by the time I get home from work.",Energy
"the unnessary taps to turn off, I can save water..",Energy
"to know if my EV is charged fully or how much time is left for full charge, I know if I can take a trip yet.",Energy
"my seasonal decorations to be able to be plugged in, I will not have to run extension cords all over the place.",Safety
"sensors on my bedroom windows that close when someone is standing outside of them, I can have privacy and safety.",Safety
"my smarthome to switch off All the bulbs after 10 pm automaticaly, we can save wastage of electricity.",Energy
"my smart home to update me on traffic, I can avoid traffic and excessive fuel consumption..",Safety
"lights that in front rooms turn on automatically, potential robbers are deterred thinking someone is home..",Safety
"a pet door to not open when any animal other than mine tries to enter it, wild animals don't get in my house..",Safety
"automatic window screens, I can switch them out at the turn of the season without much work. .",Energy
"a toy collector, to sense toys on the floor and collect them.",Safety
"to know when the water in the tank is going to fill., so that water can be saved from pouring from it..",Energy
"Fully automated laundry system. Hampers in each bedroom which move clothing to a sorting area via conduits inside the walls. Must be able to sort by color, fabric type, washing instructions. Once a full load is available, it moves automatically to the washer, which senses the clothing and applies the correct settings automatically. When clean, clothing moves automatically to the dryer, again sensing and applying appropriate settings. Folding still seems like something that needs a human touch to me, but the system could be programmed to identify which clothing belongs to each family member and sort accordingly so that only folding and putting away remains for human hands. System could also be optimized to get clothes clean with a minimal use of water and laundry soap., I don't have to do laundry. I seriously hate laundry. Also conserves water and energy and eliminates wastage on laundry soap..",Energy
"Room thermostats, Protect the room temperature.",Energy
"my smart home to alert the police if someone is trying to break in,, my home and valubles are protected..",Safety
"my smart home to notify me wherever I am whenever someone gets in the pool, I can be aware of safety issues.",Safety
"my smart home to sense my pet coming up to the door to open and let the pet outside.  Then open when he comes in from the outside and closes and relocks., I can be sure my home is secure and my pet can be active.",Safety
"open door using my smart phones, can increase my home safety.",Safety
"a device that show me deficiencies my home may have in it's efficiency, I can be more energy concious and efficient .",Energy
"I want the lights to automatically turn off each time I leave a room, I will save energy by not having uneeded lights on.",Energy
"My smart home to automatically work to put out fires if one should arise. When the smoke detector goes off, I want there to be a sprinkler system or a high pressure hydraulic system in place that will work to at least fight the fire if not put it out completely. I imagine a future filled with ""fireproof houses"" In this future our smoke detectors are going to need to be a lot better to avoid them going off at happenstance times or malfunctioning. But I would much rather my stuff be soaked in an instance like this than for my house to be completely destroyed by a fire. , The home remains safe .",Safety
"the home to dynamically adjust temperature of the ac system depending on occupants' presence in certain areas, the air temperature and humidity are always comfortable within the house.",Energy
"my smart home to notify me when there is a faulty outlet or wiring., I can have it fixed and prevent a hazard such as a fire; and the house will not burn down..",Safety
"my dishwasher to emit a beeping sound or text my phone when it is full and when the dishes are cleaned, I can remember to turn on the dishwasher when it is full and to remember to turn it off when the dishes are cleaned to save energy and time.",Energy
"improved security, I do not have to worry about a burglar..",Safety
"my fridge or freezer to automatically shut if I leave it open, I save on energy and my food doesn't get spoiled..",Energy
"remote light access, I can turn my lights on or off for my cats when I am not at home if it gets dark or daylight..",Energy
"my smart home to have all the photographs and voices of the people that I want to visit my home recorded and a special tone to be assigned to them when the doorbell rings,,  that unwanted visitors can be avoided..",Safety
"motion dectectors to monitor movement, and shut off lights and non-essential appliances if none is detected after a certain time, i can save money and conserve .",Energy
"voice-activated lights, I can turn on and off the lights wherever I am in the room..",Energy
"my electronic appliances to automatically turn themselves off, I can save on electricity.",Energy
"a couch that is heated and air conditioned by remote control , I can reduce other sources of heat and cooling by making my immediate area more comfortable.",Energy
"lights that shut off when i leave the room, it will save electricty.",Energy
"Cameras with recognition, any unrecognizable guest appearance will have a photo sent to my phone and/or email..",Safety
"windows that keep in theheat and keep out the cold, comfort and energy conservation.",Energy
"My house to automatically lock all windows and doors once I close the front door and step on the front steps outsidde,  I can always be comfortable..",Safety
"an alert when someone is near the pool, I can be attentive..",Safety
"to keep a buzz on electric wires and other sockets, my children is alerted when touching them accidently.",Safety
"a feature that will power down unused items, i will save money and help the planet.",Energy
"smart thermometer, I can remotely control the temperature at home.",Energy
"an auto feature that will remind me to change water sofner , so that we dont ever go without warm water.",Safety
"a monitor to notify EMS if I don't move for more than a day, if I die or become unconcious I can be removed or have help sent.",Safety
"cabinets to lock and unlock based on a hand print or thumbprint, baby locks wouldn't be necessary .",Safety
"motion sensors that don't emit noises , provide safety without disturbing autistic ears .",Safety
"my home to keep track of where my pet is, I can find them if they run away..",Safety
"hot water sensor, i know if the water is too hot for my child.",Safety
"to monitor my smoke detectors via my smartphone, I am sure my home is safe.",Safety
"an app that tells me if my child gets near a dangerous appliance like a stove, safety for my child.",Safety
"push to open doors, I can mash a button and have the door open when my hands are full..",Safety
"a device that can charge electric cars, guests can charge their car while they are at my house.",Energy
"to be alerted if there is no activity at my neighbor's house for a set extended period of time, I can inquire after the wellbeing of my neighbors if they have not been active after an extended period.",Safety
"lights that turn on when someone approaches, so that I can see people outside my home.",Safety
"all appliances to turn off when people leave the room , the house wont burn down to the ground.",Safety
"my smart home to monitor and remember local outdoor temperatures and calculate degree heating days (or degree cooling days), I can accurately gauge my monthly energy use for heating and cooling..",Energy
"the humidifier in my son's room to turn on and off at certain time overnight, he remains healthy from the moisture but, there isn't so much that the room becomes overly humid.",Energy
"lights that turn off in rooms when there is no movement detected in a certain amount of minutes, it cuts down on energy costs.",Energy
"a thermostat that monitors my sleeping and adjusts the temperature according to my sleep cycle, I can save money by having the heat go down when I am asleep but so that if I wake up I will be warmed up soon..",Energy
"smart home to sense when my car needs to be washed and wash it in the modified garage using recycled water, my car is always clean and water is not wasted.",Energy
"my smarthome to alert me whenever someone sets up a spycam inside my home. , I won't be monitored.",Safety
"to control the temperature of my water heater, I can save energy costs..",Energy
"a small robot that is integrated into the house to sense when the floor is dirty and to clean it and when necessary mop it, whenever my child spills on the floor during a meal it will come out and keep my floor clean and make it so I don't trip..",Safety
"lights in the house to adjust to specific presets based on the time of day, outside illumination and activities taking place inside the house, I could conserve energy.",Energy
"my smart home to analyze and recommend the best sources to cool my home (air conditioning, window fan, ceiling fan, ductless heat pump, etc.), I will be comfortable during hot days..",Energy
"smart water meter, if a pipe springs a leak I'll know right away. .",Safety
"Net alarm system ('smarter' home security system), As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help.",Safety
"cooling systems to be aware of each other and coordinated so that, for example, roof exhaust fans are turned off and closed when the AC unit is needed, I use the appropriate means of cooling and don't have to think about..",Energy
"a feature in the fridge that states when we are running low on items, i would know when to buy more.",Energy
"my smart home to track if my pet is inside or outside, I know where she is..",Safety
"pipes and wiring that can alert me when there is a leak or a potential issue, I can know if there is a problem in my house.",Safety
"my smart home to notify me via text message when regular tests of my various installed smart home technologies indicate a specific technology malfunction or failure, may know without manual testing that my various installed smart home technologies are completely functional and operative.",Safety
"have an energy usage graph provided, have a log of best use of energy and suggestions of settings that would save even more..",Energy
"my smart home to play a warning sound when my child is close to the stove, he won't burn himself.",Safety
"Home outside monitors alert me if someone approaches my home, So I can be safe..",Safety
"appliances to have an auto-shutdown time, I could modulate the amount of electricity I use .",Energy
"my blinds to automatically adjust themselves dependent on sunlight , we get the most of natural light .",Energy
"A hand scanner that will unlock my door. , No one can get it but me..",Safety
"the alarm system to automatically activate after all registered people in the home have left, I can secure the household.",Safety
"an alarm feature that has pressurse sense windows  , I can ensure the protection of my home..",Safety
"a safe garage, My cars stay locked in place if drivers are too intoxicated, affected, or underage to drive.",Safety
"drive and walkway lighting to be turned on when people are using them at night, occupants don't fall and the outside of the house is lit when strangers approach at night..",Safety
"a smart washer and dryer combination machine that keeps the clothes fresh until I take them out, I don't have to remove them right away or let them get wrinkled again.",Energy
"Sensors to detect when I've left a room and automatically turn off the lights. , I'll save energy..",Energy
"to be able to alert others about where the cat is,  he doesn't run outside.",Safety
"remotely access camfeeds, I can check in on elderly parents and pets.",Safety
"my smart home to monitor my utility usage and costs., That I can stay on budget for the month..",Energy
"my pool to automatically cover itself when my child is playing outside, they will not fall in or rown.",Safety
"something to warn me if there is an electrical problem in the wall, I can get it fixed before my house burns down..",Safety
"my home to notify me if carbon dioxide levels exceed a certain level, I can make sure that family will be safe.",Safety
"my smart home to let me know if it senses anyone outside the perimeter of the house after dark, I can protect my family from a break-in.",Safety
"to be alerted when the cabinet locks on my cabinet doors are broken or opened, I know my child is safe.",Safety
"the washing machine to automaticly detect the amount of clothes inside and dispense detergent, softener and water acordingly., I will save on water useage and money on over using laundry supplies..",Energy
"A feautre to take the humidity out of the air, it is refreshable breathable air..",Energy
"my smart home to tell me when energy usage is optimal to do things like run the dishwasher and do laundry, it benefits the economy and environment by not using lots of power during high load times on the grid..",Energy
"water amount alerter, I am aware of how much water I am using at a time..",Energy
"shower temperture controller, the water will be perfect everytime.",Energy
"an emergency alarm which send messages to pre selected numbers, i can alert others something is wrong..",Safety
"a panel that will let me know which devices are currently using energy but are not being used such as lights, I can save money and energy.",Energy
"smart electric sockets that only work if an actual plug is inserted, my kid can't stick metal crap in sockets and kill himself.",Safety
"an alert that lets me know when the refrigerator is left open, I can save energy.",Energy
"Keyless Digital Door Lock, I don't have to carry keys with me..",Safety
"my smart home to monitor energy use and excess, we can determine how to be more conscientious of what we use.",Energy
"a thermostat what adjusts itself based on the outdoor temperature, I can conserve energy but also maintain a pleasant temperature inside.",Energy
"my smart home to give me access to video from within my home,, I can keep an eye on things if I'm away for a long time..",Safety
"my chimney to switch on whenever I start my stove, my kitchen will be clean.",Energy
