requirements,class
"automatic window cleaners, I do not need to spend hours cleaning them.",Other
"a monitor that tunes into my classes at school , it can allow me to participate in class from home.",Other
"syncronized alarm clocks, my entire family can be woken at the same time..",Other
"smart pooper scooper, it will automatically clean up what my dogs leave in the yard and either dispose of waste through plumbing or place into an airtight receptacle..",Health
"my smart home to notify me when food and water levels in my pets dishes are low., I can track how much my pets are eating and always make sure I don't leave them without food..",Health
"my water sprinklers to automatically water the plants at home,, the moisture in the plants is well maintained all the time..",Other
"temperature sensing oven,, the temperature of the food will be displayed..",Health
"be able to scan movement in the walls regularly , i can be alerted by pests when they first intrude..",Health
"my television to alert me when someone calls the home line, I don't miss a call when I have the TV blasting..",Other
"appliances that have a feature like new cars that let you know when your tire pressure is low, my appliances can let me know when a part starts going out.",Other
"my smart home to provide me with a daily report containing weight, percent body fat, heart rate, respiration rate and blood pressure, I can keep track of my health progress.",Health
"my refrigerator and freezer temperature monitored, I don't have to worry about food contamination, spoilage or inadequate food storage.",Health
"to get alars when the nearby shop is going to get closed, I do not run short of things..",Health
"a home that is also like an assistant, I can keep up to date with my responsibilities.",Other
"Feature to notify health issue, I can detect do I need medicine.",Health
"my Smart Home to have many accents to talk to me in, I may benefit from the presence of a Britt, Kiwi, or something just seductive.",Other
"my smart phone to be able to remind me when to do water changes in my tanks, I can be reminded to do fish chores..",Other
"to check my food to be healthy and things which we buy is organic, it makes us healthy.",Health
"My toilets to be on my network with warmers in them, and to recognize my bathroom pattern of use., My butt will be nice and warm sitting on the toilet..",Other
"my smart home to ring a bell at meal times, I don't have to call each and every person separetely.",Other
"my smart house to make me aware of when I am low on certain food in the house, I can be aware of what I need to pick up soon at the grocery store. .",Other
"reminders of what I have to do that day every morning when I get up, I dont forget something important.",Other
"fire place turns one when I get home from work, it will be warm and relaxing after work. .",Health
"a home that monitors my gym membership activity and reminds me to work out,, I can stay motivated to work out..",Health
"my smart home to adjust the water temperature in the shower by my input into my smart phone, take comfortable showers .",Health
"my smart home to automatically open windows with the help of remote control, smoke can be emit quickly.",Other
"to monitor pollen levels within the home or around the exterior, I can plan ahead and take medications if necessary..",Health
"my tea to brew and be ready for my wakeup, it is ready.",Other
"my smart home to warn me if there is mold in the air, in my fridge or bathroom., I maintain a healthy environment.",Health
"network outlets, I wouldn't have to run them myself.",Other
"a machine that has wash/dry cycle in the same machine. , I don't have to take out my clothes to put from the washer to the dryer. .",Other
"my bed to slowly tilt so that I roll out of it in the morning , I don't stay in bed too long.",Health
"Home automatically heats precooked meal based on approximate of arrival (based on GPS location), no need to manually cook / heat meal .",Other
"a device that can monitor my well being and health, I will be alerted to changes in my health.",Health
"to be able to start my car from inside the house., it can warm up in winter time..",Health
"""piggy"" bank that tracks the money added and responds with congratulations and other comments, I can be encouraged to save.",Health
"my smart home to let me know if I have exceeded my monthly water allotment, I can conserve water and save money.",Health
"My Smart Home to notify when I need to buy favorite foods , I may purchase the before I run out..",Health
"the option to activate the opening and closing of window curtains by using a remote or smart phone application, during the day the blinds can be open and closed when necessary without having to manually open and close them..",Other
"My smart home to calculate Our walking step inside home individual , so that it will motivate to stay as fit.",Health
"automatic toiletseat, once I walk up to it, the lid opens and when I am finished, the lid shuts and flushes by itself.",Health
"a smart mailbox, i receive smart phone notifications when mail is placed in my box.",Other
"my home to be able to tell me where my electronic devices such as my phone or tv remotes are even when they are powered off, i can save time not searching for lost things.",Other
"Smart appliances that give me relevant information on the food i'm cooking, Food always gets cooked as much as it's needed.",Health
"a program where I can tag unwanted mail, I no longer receive junk in the mail.",Other
"increase the heart beat, to ensure the health fitness.",Health
"a self cleaning toilet, I don't have to clean the toilet.",Other
"when I should go to sleep, I cannot waste time and be healthy.",Health
"an alarm on the garbage can that goes off when anything is removed by something on 4 legs, they don't eat out of the garbage.",Health
"my bathroom mirror, sink, and shower to autoclean each day, I don't have to do it and this will allow me more time for other things..",Health
"an oven that will learn when I am home from work and turn itself on to warm my dinner, I will not have to worry about it aftera long day..",Other
"A weight scale to store and analyze my weight trends, I know where I stand.",Health
"water should be automatically supplied to palnts, save time.",Other
"gourmet recipe banks in the ovens, i never go hungry.",Other
"smart garbage can that scans barcodes of what I throw out, and if it is a regularly used product (paper towels, eggs, bread bag,) puts them on a the ""to buy""/grocery list so I wont forget, I will not forget to buy oft-used staples for the house.",Health
"my refrigerator to take inventory of my groceries, when I'm out shopping I know what I need to get.",Other
"soft lullaby music to play when I enter the nursery with my child, my baby will stay asleep.",Health
"a smart home that have controls that allow me to trigger appliances in the kitchen from my bedroom, when I wake up, I can start the coffee or boiling kettle when I turn off my alarm clock.",Other
"a SMART Home option that will allow my pet to walk to the door, bark, and a dog door raises to let them out, it will keep unwanted animals from aimlessly wandering into your house..",Health
"smart device to clean your windows automatically, can be save time.",Other
"a robot pooper scooper, it can follow Fido in the yard and bag and toss his waste so I don't have to..",Health
"Sensors to realize when I am tossing and turning in bed and turn the temperature in the room down automatically., I won't wake up from being too hot..",Health
"my smart home to inform me quickly when my solar water heater does heat water, I don't need to go everytime in bathroom to check the hotness of water.",Other
"I wnt my favorite chair to be is massage mode when I get home., So that I can relax when I get home..",Health
"Blinds automatical open with the sun rise and direction, Maximize ampunt of sunlight in home..",Health
"a smart home that has motion sensors that I can program to trigger music/lighting/audio reminders when I enter a certain room, I can benefit from the convenience of not having to turn things on manually, and also to remember why I go to certain rooms in the first place.",Other
"My home to start the self cleaning litter box for me, I don't have to keep tabs on my cat.",Health
"my smart home to clean my cats's litter box whenever its soiled, I don't have to breathe in the fumes from the litter box.",Health
"my oven to be preheated when I get home, dinner will be ready 10 minutes earlier.",Health
"Self loading washer and dryer , Myself and elderly people or people with back problems can have an easier time doing laundry.",Health
"the robot vacuum cleaner to return to its charging station when needed, the vacuum can run all day long when we are not home.",Health
"I want a refrigerator that automatically monitors and purchases groceries that are low,, I can save time from having to shop..",Health
"my smart home to open the blinds in the morning, the morning sunlight can come in.",Other
"self scrubbing carpets, I never have to pay for a deep cleaner when i move.",Health
"my house to set an alarm for me when I request it to, I am not late for things.",Health
"whole house morning alarm , I can get the house moving at the same time in the morning .",Other
"a fridge that automatically knows what I put in it by scanning the barcodes of food and tells me what I have at the push of a button, I know what I have, and food does not go to waste.",Health
"it to run a lawn mower if the grass is getting too high and out of control., the grass is maintained and looking nice..",Other
"my smart home to alert me when it is time for a meal., I can keep up with a consisting meal schedule..",Health
"i want the windows to lock, no flies come in.",Health
"a fridge that monitors my supplies, I know what ingredients I have to work with.",Health
"a Refrigerator that can display what the best prices in my area are for food I'm running low on, I know where to go shopping for this food that day.",Other
"my smarthome to move my trash to the curb on trash day, I don't wake up early that morning and run after the garbage trucks..",Health
"Full interactive voice recognition throughout the home (think SARAH from Eureka) and linked to my phone, all other features can be controlled by voice command whether I am at home or away..",Other
"my smart home to sync with package deliveries , so that the packages can be left at my door.",Other
"my smart fridge to connect with my phone to indicate whether I am running low on neccessary food suuplies, I would always be prepared when I go to the grocery store.",Health
"My smart home to help me keep track of what my responsibilities are, I wont forget what I need to do.",Other
"my smart home to activate the Roomba at certain times of the day,, my home stays clean..",Health
"my smart home to start my car for me on cold mornings , the heat is ready to go when I get in the car to drive.",Other
"a timer on my TV that automatically starts when turned on, my children don't watch TV all day..",Health
"my smart home to have voice command feature to operate activities from bathrooms , even if i am alone in home and in bathroom i can manage the activities.",Other
"my smart home to automatically pick up my cat's droppings, the house will not smell and I won't have to do it.",Health
"I want a lawn that will absorb all dog poop, People with back problems will not have to bend to pick up feces anymore.",Other
"a notification via my phone/smart watch letting me know when my food is ready, I can concentrate on other things and keep the food from burning or cooking to long..",Other
"motion sensors, i can track movement.",Other
"my system to make sure the overhead tank is not empty, we are not bothered about the water level .",Other
"a home that helps me to nourish and grow my plants, i can keep a healthy garden.",Other
"a food device that organizes food portions and/or calories, I can maintain a healthy weight and lifestyle.",Health
"a machine to tell me what allergens are in my home, I can stay healthy.",Health
"my tv to allow me to order food for delivery with my voice, it will make it easier for me to provide a meal for my family. .",Other
"voice activated shower, i can set the shower to a precise temperature and flow.",Other
"a household alarm clock, we can all wake up at the appropriate time.",Health
"my smart home to keep track of my health, I can stay healty.",Health
"a washer/dryer combo that will be controlled by my phone or mobile device to do my laundry at set times, I won't have to worry about it..",Other
"flea sesors, I will know as soon as my pet has a flea.",Health
"a connected washing machine that could turn on when I leave work, my clothes can be ready to put in the dryer when I get home and will not have been wet in the washer all day.",Other
"my heated floors to turn on at 6:45 am , they are heated once I get out of my morning shower..",Other
"feature that will interect with my dog for an hour each day, so that my dog  will be  happy & engaged when I'm away from home..",Other
"security windows that will change transparency and darken while I am away., my house will be more secure to thieves..",Other
"moisture detecting sensors in the ground, the sprinklers can automatically water as necessary.",Other
"alarm to tell me when air con filters need changing, inside air is better and use less energy.",Health
"Bed automatically makes itself for sleeping and after sleeping, no need to occupant manually make bed.",Other
"alarm, wake up alarm to get up for reading .",Health
"Auto humidifier when necessary, healthy level of humidity is in the air.",Health
"my blinds to close once it gets dark out and open when the sun comes up, I can save myself from having to do it myself..",Other
"to be alerted every time someone tries to use my computer, I know if someone is invading my privacy.",Other
"database of my husband's blood sugar and pressure , i can help him keep his health appropiately.",Health
"fragrance sprinkler near my cat's litterbox, that it will activate after my cat uses it, to keep the room smelling fresh..",Other
"Carpet that absorbs and self-cleans spills and crumbs after a set time, and tile/hardwood floors (kitchen, bath, basement, etc) that self-clean at night (a variable static charge to move loose particles to a garbage recepticle, & targeted stain removal)., I don't have to vacuum, steam the rug, sweep, or mop..",Other
"smart faucets on my sink that monitor the water for pollutants, and alert me if any new threats are found, I can know that I'm drinking clean, healthy water..",Health
"to know when I need to exercise, I can be healthy.",Health
"my smart home to sync with my alarm in the morning to turn on the lights and shower when it's time for me to wake up, I can start my day more efficiently.",Health
"my smart home to allot food to my pets in relationship to their tracked expended energy as determined by their collars and movement, my pets will receive more food appropriately when they have been especially active and will be hungry. .",Health
"an alert when my dog is standing by back door, I know that I need to let them out..",Other
"my scale to connect to my ipad, I can track weightloss.",Health
"the TV to turn off when my laptop is on and vice versa, I can study better and focus on one thing at once.",Other
"walls that can be set to reduce noise levels, you can be undisturbed by others noises..",Other
"temperature monitoring in kid's room, they can feel comfortable at night.",Health
"a bathtub that fills to a predetermined water level, I don't use an excess of water.",Other
"automatic dishwasher, I don't have to clean dishes.",Other
"a miracle shampoo and conditioner, my daughter no longer gets her hair tangled.",Other
"Closet assistant, it can help me program and choose outfits that are appropriate for the function and weather, and organize logistics for laundering.",Health
"My car to start warming up on my schedule, I don't have to do the remote start manually each workday morning. .",Other
"my smart home to monitor my body and inform me daily or weekly when a potential health concern is noticed, so that I can be proactive and consider visiting a doctor or dentist to have the issue reviewd..",Health
"sensors that will detect rodent activity, I'll know when varmint control measures need to be taken.",Other
"My shower to be cleaned with a device once per week., The shower stays nice and clean.",Health
"my home to track my medication usage, it can remind me when to take medication.",Health
"a walking machine that will walk my dog, my dog can stay healthy..",Health
"my smart home to sense when I have come home from a stressful day at work and automatically draw me a tub to the perfect temperature and add bath salts and light electric candles and dim the bathroom lights., I can relax and get rid of all my stress by soaking in the tub..",Health
"my home to alert me when my pet leaves something behind on the floor, I am alerted to when I need to clean up to prevent odors..",Other
"my home floors to be auto cleaner when anything spills., i can manage cleanniness and good health.",Health
"My coffee freshly ground and brewed every morning before I wake up., I can save time..",Other
"to be alerted if the fridge and freezer temperatures go outside of a certain range, I can ensure my food isn't going bad due to high temperatures or being frozen due to low ones..",Health
"Alarm Clock, I can choose from a variety of different sounds that would play in the mornings at a specific time; this alarm clock would also contain specific features that would force me to wake up.",Other
"my bed to come with smart features that allow me to control comfort, I get the best night's sleep I can have.",Health
"floors that resist germs, I don't spread germs.",Health
"my smart home to tell me if clothes are finished washing or drying. , I can take them out or transfer them. .",Other
"a washer and drier that text me as soon as they're done, I can do the laundry more quickly and efficiently..",Other
"my home to automatically recognize my nephews and nieces through facial recognition software and give them access to the house when they visit., I do not have to give them a key..",Other
"odor detection in the fridge, I can dispose of rotten food.",Health
"automatic butt wiper, i don't have to wipe my ass.",Health
"my smart home to have a projector that comes from behind the wall, onto a screen that comes down to assist my child with school work and interact with his questions, my child can do better in school and get his needs met through interaction and assistance .",Other
"my smart home to turn off the heat if anything is blocking the heater,,  I can know where it is and solve the problem before it spreads..",Health
"an automatic bath which fills to my desired temperature and depth, I can stink less.",Health
"self refilling coffee pot , Coffee is always hot fresh and ready .",Other
"to know when my pets have to go to the bathroom, I can take them out before they poop in the house.",Health
"lightly heated windows , they do not become frosty and hard to see through in the winter.",Other
"my smarthome clock to alert my child to eat food at regular and correct time, my child can look after his health properly.",Health
"plant moisture detector, plants are watered in a timely manner.",Other
"an automatic pet feeder, I won't have to take note of the time my pet last ate..",Other
"leakage sensors, if anything around my tank starts to leak, I get notified..",Other
"artificial, self cleaning pet area, during long work days, the puppy has a place that can be used like outside and then it is robotically cleaned..",Health
"a robot that can prepare meals for me. , I don't have to waste time cooking. .",Other
"my smart home to inform me when the temperature in my fridge/freezer drops 5 below it's set temp, I can prevent food from spoiling if they break..",Other
"my entire house to detect subtle hints of psychological abnormalities, whether depression or unknown genetic defects, that get express through small but still perceptible physical irregular movements, my primary care physician is alerted very early.",Health
"Restock-able Toilet  Paper, I wont have to take the toilet paper off of the roll and replace after its done.",Other
"To have my children surveilled  when they go to the bathroom'., I know that they wipe properly and wash their hands properly;.",Health
"vacuum to come on automatically when I spill something, I don't have to turn it on.",Health
"If any letter dorped in my letter box., I can know immidietly..",Other
"blood pressure monitor , have reading throughout the day without having to do it myself .",Health
"smart breakfast appliances, it will save me time in the morning..",Health
"a servant or tub that cleans/bathes/grooms my pet, I can keep my pet's hygiene well.",Health
"smart window cleaners, I don't have to do that chore.",Other
"my home to monitor clothes and bed sheets from the last time they were laundered, I can make sure my clothes and bed sheets are always clean.",Other
"my smart home to tell me the bacteria percentage in my home, I know when to disinfect .",Health
"my bedroom humidifier to turn on at 11pm every night, I can sleep comfortably through the night .",Other
"a machine operated bed , I could move around while in bed.",Other
"a self cleaning bathroom and kitchen, I can spend more time working instead of cleaning.",Other
"a floor that counts how many steps I take a day, I can track my fitness around the house without any attachments.",Health
"to open my garage door , I can save on time and energy.",Other
"my fridge to alert me when I am low on milk and cereal, my kids will have food.",Health
"a sensor in the fridge, it will detect any rotting food or food with bacterium in it so I know to avoid eating it.",Health
"an alarm when toilet is close to overflowing, I can turn off water before overflow.",Health
"my baby's room to play soothing music whenever it starts crying, the baby will calm down.",Other
"alert system for washer and dryer, I can be alerted to a load finishing no matter where I am in the house. .",Other
"a door that unlocks and opens with the command of a smart phone, I can let the dog out to use the bathroom even when I'm not home..",Other
"an app which shows video of who rang my doorbell when i wasn't at home, i can see who stopped by when i wasn't home.",Other
"a smart bed, it adjusts tension to optimize comfort and posture..",Health
"my smart home to be able to dispense food for my pets when I am away, I can be at work or on vacation without worrying about my pets.",Health
"eye detection locks, if I forget my keys, I won't get locked out of the house.",Other
"a motivator to alert me when I did not go to the gym., I can go to the gym and continue my fitness goals..",Health
"my smart home to let me know if I've left clothes in the washer for too long, they don't get that nasty funk.",Other
"a pet dish that will auto fill with water and food, I don't forget to feed my cats.",Health
"my smart home to let me know when I'm running low on pantry and refrigerator staples, I will have a list ready when I go to the store.",Other
"my smart home to regularly track the weight of my animals with a scale hidden at the cat flap, I may be alerted to significant changes in my animal's weight, which could suggest health issues..",Health
"to be able to voice activate lights, television, radio in my home, I don't have to get up when I am in pain.",Health
"web cam system, perhaps tracking system, I can tell what my pets are up to when I'm at work.",Other
"the doggie door to open at certain times of the day,, the dogs are able to go outside and get fresh air and go to the bathroom..",Health
"My medicine pill holder to notify me about the pill that are going to expire, So that I can replace the old one and purchase new one..",Health
"my fridge to tell me whenever food is about to be spoiled with cameras that detect expiration date. , I can keep a safe and clean refrigerator at all times. .",Health
"my smart home to feed and water the pets on a schedule, they are taken care of routinely.",Health
"my home to remind me when its time to walk the dog, I never forget.",Health
"my coffeemaker to start automatically, my coffee will be ready when I go to wake my son up early in the morning..",Other
"my pets to be watched over screen and to know the necessary foods available for them, I can keep them healthy.",Health
"a smart outdoor water system that automatically switches between cisterns/rain barrels, gray water system and utility supply depending on what is available, I can easily use less town/city supplied water..",Other
"windows that automatically open and close, I can adjust them when I am not home if it is raining, etc..",Other
"a soil monitor, I can be alerted when my plants need watering.",Other
"my air conditioning unit to purify the air in my home and report the air quality, I can ensure my family is breathing healthy air.",Health
" my smart home to automatically refill the pet's water and food bowl through an automated system, I know my pet will be taken care of in the event that no one is home or someone has forgotten to feed them...",Health
"automatic food discpensers, I could feed my pets remotely .",Other
"projected figure to assist me with a click of a remote, i could get any help i need in any room.",Other
"an alert to my phone when a package is left on my doorstep, I know to pick it up and will know if it goes missing..",Other
"doors to unlock automatically if I am specifically detected. , I don't need to deal with keys. .",Other
"to be able to access my pantry and fridge's inventory, i can get exactly what i need from the grocery store without having to create a list. .",Other
"smart snowlance to clean snow on my home roof automatically, can be save time.",Other
"to know when my fridge is running low on everyday essentials by sending me a message to my phone, i know my family doesn't run out of food that they use daily.",Other
"to be notified when the level of cat litter has run low, I can add more cat litter to ensure that my cat has enough to do his business..",Other
"my home to shake the beds of my two older kids to wake them up in the morning,, they will actually get up and not be late for school. .",Other
"My refrigerator to tell me when I am low on foods I use often, , I will never run out.",Health
"my pool pump to automatically turn on for a set amount of time that I set, my pool stays clean and I don't waste energy by having the pump on for to long..",Other
"to be notified whenever the cat is sitting in the bath tub, so I can turn on the tap for him., so I can turn on the tap for him..",Other
"Dog food to be dispensed from a device into my dog's bowl at the same time every day., My dog will eat at the same time every day..",Other
"to be notified by my smarthome when my plant's soil becomes too dry , so that I can prevent my plant from dying and therefore saving money by not having to keep purchasing new plants..",Health
"A smart dirty clothes hamper that takes clothes and sorts then and washes at a specified time, I can save time on doing laundry.",Health
"smart plates for food that can determine what type of food I've placed on it, and aggregate nutritional information to be displayed on a smart table while I'm eating, I can prepare healthy meals and keep track of my nutritional intake..",Health
"Dishwasher cabinet, I can clean and store my most frequently used dishes in the same space..",Health
"a buzzer to go off when my dogs bowl is empty, i know when to give him more food and water.",Health
"my home to automatically wake up children at a predetermined time for school, I do not have to wake my children up myself and they are not late for school.",Other
"a device which automatically monitors and sweeps the floor., so that my floor remains clean.",Health
"a robot that pours me my captain crunch, i don't have to pour my own captain crunch.",Other
"a cooling blanket, warm summer nights are relieved by wrapping yourself in a blanket to cool down..",Health
"have an automatic humid controller, I can live under the right humid..",Health
"an oven that comes on at a certain time, I can place my food in the oven and it'll be ready when I get home.",Other
"automated feeding, my pet can be fed when im not here.",Other
"my refrigerator to know how long my food has been inside, the food doesn't go to waste..",Health
"my smart home to advise me when my body switches from an anabolic state to a catabolic state, I can take any dietary or other health steps to try to stay in an anabolic state as frequently as possible.",Health
"sprinklers to automatically activate and water the lawn at the appropriate times, I can maintain a healthy looking garden.",Other
"my home to be able to alert me to where my keys and wallet are at any time, I don't have to look in multiple rooms for these items when I need to leave.",Other
"A floor feature  that sucks up loose debris intov vents in the wall, I never have to vaccum again..",Other
"air purity controller, it detects pollution and sensors get active .",Health
"The crock pot to turn on at a certain time of the day, When I get home the food I put in the crock pot will be done..",Other
"Home monitors observe my activity and know when I am about to leave and have a Uber ready, Save time, just walk out and go..",Other
"understand the calories of food taken by my kids, it helps me understand their requirement and as well check with their health..",Health
"my treadmill to alert me when I haven't used it in too long, I know i need to exercise..",Health
"suggestions and recipes of what I can make for a meal with whatever ingredients I have in the fridge, I will be able to make full use of my groceries..",Other
"a smart computer system, it is up and ready for work in the morning automatically without my having to turn it on.",Other
"moisture detection, leaks are fixed before something major happens.",Other
"wifi wired into all of the walls, I would never have to worry about weak internet anywhere in the house. .",Other
"my fridge to tell me when I am running low on food, I can restock.",Other
"to receive a text if the fridge is opened, I can monitor what my kids are eating..",Health
"my smart home to notify me if there is too much dust in the air, dusting and vacuuming don't get put off due to busy lives.",Health
"my smart home to include a closet that automatically pulls together my clothing outfit for each day on my voice command, I don't have to think about it.",Other
"a smart home to send me a text via my smart phone when it is time to change ac and heater's filters, I can change them on a timely manner..",Other
"monitor room lights., to mentain room lights as per requirment all time.",Health
"to be alerted every time it's being used, I can plan .",Other
"an alarm to go off when my dog stands by the door for more than 5 seconds, I can avoid accidents.",Other
"i want my smart home to put heat or air conditioning on depending on the temperature in the room, I can always be comfortable.",Other
"sensors on doors, doors auotmatically open and close when I am near them.",Other
"sensors that will detect termites, I'll know when to call the exterminator before the insects can do damage.",Other
"to have standard automatic floor cleaning, housework can be kept up with minimal effort.",Health
"a refrigerator that tells me when my food is about to expire, and makes lists for the items I need, I'll know what I need to buy while I'm at the store by reviewing the data on my smartphone..",Health
"the litter box to be auto cleaned when dirty, the house stays sanitary and the air is always clean.",Health
"childrends bedroom that automatically plays and doesn't play soothing music depending on if child is or isn't asleep,, my child will fall asleep easier..",Health
"my smart home to remind me of any activities my kids need to go to, I don't forget.",Health
"my smart home to water my indoor plants when they become dry, , my plants do not die, and I save a little bit of time. .",Other
"my pet feeder to let me know when the container is empty, I can refill..",Health
"monitoring software that detects nudity, drug use, and foul language and sends me live footage when it occurs, I know my children are safe and behaving.",Other
"my smart home to alert me to any pest intrusion, I can have them removed or abated..",Health
"my smart home to open my garage door when it senses my vehicle arriving outside of it, I don't have to worry about carrying a remote control opener.",Other
"my smart house to alert me about the septic tank, costly repairs can be avoided..",Health
"automated sharp furniture sensors,, f my child nears such places, alarm goes off..",Health
"to be notified whenever I get new mail, I don't have to spend time checking the mailbox if there is no new mail..",Other
"A sound recorder to turn on automatically when I am asleep, I can hear if I snore or talk in my sleep..",Health
