requirements,class
"remote wireless access to surveillance cameras, I can keep an eye on my home in real time even when I am away..",Safety
"a refridgerator/cabinets that automatically knows what we have in stock and how much of it, the process of deciding on recipes and building shopping lists can be automated.",Entertainment
"water to turn off when I am brushing my teeth, I don't have to do it.",Energy
"a voice controlled remote, I don't have to get off the couch.",Entertainment
"an app that lets me manage my stove/gas, I can turn it off and on even if I am outside..",Safety
"my home to suggest movies out loud based on the time of year , I don't have to think about what movies to watch.",Entertainment
"suggestions for recipes based on what's in my home, I can have new and interesting ideas at my fingertips.",Entertainment
"a way to view a live stream of my pet when I am out of the house, I can make sure my pet is all right.",Safety
"my smart home to alert my family when there is bad weather approaching, they can take the necessary steps to stay safe.",Safety
"my smart home to play my favorite music at 7:45 AM, I can wake up listening to my favorite music.",Entertainment
"my smart home to start laundry after it senses a full load of clothes. , I can save time and manage my water use efficiently. .",Energy
"My home to alert me to dangerous situations in my surrounding area, I can keep my family safe..",Safety
"My smart home to automatically work to put out fires if one should arise. When the smoke detector goes off, I want there to be a sprinkler system or a high pressure hydraulic system in place that will work to at least fight the fire if not put it out completely. I imagine a future filled with ""fireproof houses"" In this future our smoke detectors are going to need to be a lot better to avoid them going off at happenstance times or malfunctioning. But I would much rather my stuff be soaked in an instance like this than for my house to be completely destroyed by a fire. , The home remains safe .",Safety
"my smart home to regulate ideal temperature according to my personal preferences and the outside temperature, I can be comfortable.",Energy
"the house to automatically determine the right temperature to set the thermostat, I will save on my home heating bills.",Energy
"my smarthome to alert me whenever someone sets up a spycam inside my home. , I won't be monitored.",Safety
"Room thermostat sensor, The room is optimal temperature for an occupant .",Energy
"a roof made of solar panels that functions as a roof and an energy source, I can save electricity and money.",Energy
"rfid sensors, when I come home, it senses my RFID chip and turns on coffee maker..",Entertainment
"smart home that has a mail receptacle that has sensors to alert me when mail has been delivered, I can promptly retrieve my mail without having to worry about theft.",Safety
"Bluetooth home appliance automation, will control the appliance.",Safety
"to shut off my hot water heaters when I am not at home , I save energy by not heating water when I don't need it..",Energy
"to be able to bet , I can win when I bet on a fighter.",Entertainment
"landscape lighting to be turned on when the exterior of the house (especially windows) are approached at night, criminals are deterred. .",Safety
"cameras that turn on when someone pulls into the driveway and shows me who is coming, I can be prepared for visitors/intruders..",Safety
"the alarm system to automatically activate after all registered people in the home have left, I can secure the household.",Safety
"have solar power, coal doesn't pollute the air to power my home.",Energy
"Rollup window blind sensors, The window blinds will open automatically during daylight hours and then close when it is dark..",Energy
"Net alarm system ('smarter' home security system), As part of the system, window and door fixtures contain motion sensors which alert us when there is a trigger through an accompanying application. This system is easy to set up and connect to  smartphone, and also comes with a keychain hob which allows users to remotely alarm and disarm a system -- as well as a 'panic' button, which if pressed, alerts the connected smartphone to the call for help.",Safety
"I want my home to play soothing music while evening time, i can relax.",Entertainment
"a camera/alarm at the back door to alert me via sound and/or text message if the back door has been opened and left open, small children in my care can not leave the house and wander near the pool.",Safety
"my smart home to sync with my biorhythm app and turn on some music that might suit my mood when I arrive home from work, I can be relaxed.",Entertainment
"a nightlight that I can turn off with my smartphone after my child is asleep, I don't wake them up and it does not stay on all night..",Energy
"my shower to turn on when my alarm goes off., My shower will be warm when I get up..",Energy
"Switch on all electric goods during enter the room, Automatic all electric equipments.",Entertainment
"a comfortable temperature, the temperature doesn't vary between 68-76 degrees.",Energy
"my TV to automatically play my favorite show/news channel when I get home from work. , I don't have to waste time pressing buttons with my remote. .",Entertainment
"to have logs of when someone steps onto my property via sensors., I know if someone is coming and going..",Safety
"a robot to make me meals, I don't have to cook my own.",Entertainment
"surround sound connected to wifi, I can stream music in any room..",Entertainment
"A big tv in the attic that can move into whatever room I'm in, I could watch tv at any room .",Entertainment
"answering machine to play message when I walk into that  room, I don't miss anything important..",Entertainment
"an alert system, I can be reminded when my favorite shows are on..",Entertainment
"the house to increase the volume when I'm playing, I can enjoy the game more.",Entertainment
"open door using my smart phones, can increase my home safety.",Safety
"Kitchen that can produce recipes based on the food I have bought from the store, I can try new foods.",Entertainment
"the toilet seat to sense when my husband is done and to go down automatically, I don't have to lower it myself.",Entertainment
"an alarm when someone comes into our driveway, we can be aware when someone is at our home.",Safety
"an art room, i can admire my collections.",Entertainment
"intercom, i can hear my children in the other room.",Safety
"my lights bulbs to turn off after 5 minutes, i use less energy.",Energy
"heated shower curtains that keep the steam/heat inside the shower, I'm not cold too quickly when showering.",Entertainment
"music that automatically plays when in the shower, I always have good tunes to listen to while getting clean.",Entertainment
"my smart home feature to monitor my infants breathing at a very young age, it would give me peace of mind with the SIDS epedemic that may occur during the early months of life.",Safety
"have the lights dim for a romantic evening with my husband, I do not have to move and spoil the moment..",Entertainment
"my smart home to give me access to video from within my home,, I can keep an eye on things if I'm away for a long time..",Safety
"my home to turn off the television, mobile phones and computer until my children are done studying, my children can finish their homework without distractions.",Energy
"a device that tells me when my pet gets into a room or something they're not meant to be in (i.e. the trash), I can get them soomer.",Safety
"beer coming out of my sink, I can drink.",Entertainment
"an alert when someone is near the pool, I can be attentive..",Safety
"the house to lock, cameras turned on, and the police notified when there is a break in, the culprit takes nothing and is caught.",Safety
"my smart home to shut off the air when the room is at the right temperature , I can save money on bills .",Energy
"a voice activated warning when the energy cost is more than certain amount, I can tell everyone to be careful with their use of energy.",Energy
"my television to turn on and off with the sound of my voice, i don't need to use a remote control.",Entertainment
"lights and electronics that sense when i've fallen asleep and adjust automatically, i can save energy.",Energy
"a panel to let me know if someone is trying to breach into my computer, I can prevent hackers from getting into my computer.",Safety
"an alarm system/sensor on the stairs, it will alert me when my child nears the stairs.",Safety
"lights to be activated and de-activated as I enter and leave a room, I can save energy.",Energy
"a smart desktop and monitor , when i enter the room the computer automatically wakes and turns the monitor on and when i leave for an extended time automatically puts the computer into sleep mode and turns the monitors off.",Entertainment
"my smart home to learn when I am not around and to turn off unnecessary items like TVs, coffeemaker, radio, etc., it will save me on electricity.",Energy
"my porch lights to be programmable to come on when it gets dark, I can see when I get home..",Energy
"the windows in the kitchen have a transparent display for news and outside temperature, I could get an update on news and weather in the morning.",Entertainment
"teen child monitoring, I'm assured my child is home at appropriate hours.",Safety
"my smart home to alert me when I get mail inside the mailbox, and how many pieces there are, I can see when I have mail.",Entertainment
"an alarm system that i can monitor anywhere, i can make sure everyone is safe.",Safety
"device that plays music wirelessly from any device, Music and playlists can easily be listened to..",Entertainment
"to know any cameras targeting us to capture us without our permission., we would be more safe..",Safety
"my washer and dryer to automatically clean, dry , and fold the laundry, all I do is put it away.",Energy
"to unlock the door from a remote location that has an alert with video feed, the kids don't need to wait when they get to home.",Safety
"my television to turn on my favorite shows when I walk in the room, I can proceed with my morning routine.",Entertainment
"My Smart Home to turn on/offlights at selected time, it may appear I am home..",Safety
"my smart house to have solar panels, I can save money on electricity .",Energy
"floor heater turned on, the floor can warm my feet.",Energy
"windows that keep in theheat and keep out the cold, comfort and energy conservation.",Energy
"The electric switch should automatically  switch off lights, fans and TV when there is no one at home., So that I save on electric bills..",Energy
"the lights to dim and the music to play softly, I can romance mysignificant other..",Entertainment
"to be able to easily check if all doors in the house are locked via an app or voice command, I can be sure my family and belongings are safe at night or when away from home..",Safety
"remote access to outlets, I can turn them off to avoid energy vampires..",Energy
"smarthome feature that alerts me when any medium or large animals are near my house outside, I can feel safer when I let my small dogs out at night.",Safety
"digital readout of power usage for week, month, year, I can monitor my power consumption and estimate my costs.",Energy
"smart thermometer, I can remotely control the temperature at home.",Energy
"an smart voice recognizing with writing machine to write the subjects automatically by recognizing my voice, I can take some rest..",Energy
"Adaptable sound insulation around my music room, but the room doesn't sound ""dead"" like you get with traditional sound insulation., so that I can play my instruments and sing at any time without waking family, .",Entertainment
"Fully automated laundry system. Hampers in each bedroom which move clothing to a sorting area via conduits inside the walls. Must be able to sort by color, fabric type, washing instructions. Once a full load is available, it moves automatically to the washer, which senses the clothing and applies the correct settings automatically. When clean, clothing moves automatically to the dryer, again sensing and applying appropriate settings. Folding still seems like something that needs a human touch to me, but the system could be programmed to identify which clothing belongs to each family member and sort accordingly so that only folding and putting away remains for human hands. System could also be optimized to get clothes clean with a minimal use of water and laundry soap., I don't have to do laundry. I seriously hate laundry. Also conserves water and energy and eliminates wastage on laundry soap..",Energy
"automatic lighting system which turns on light after getting dark, i don't need to worry about switching on and off lights when i am out of home..",Energy
"a pet door to not open when any animal other than mine tries to enter it, wild animals don't get in my house..",Safety
"my smart home to play a lullaby at bed time, I don't have to sing my children to sleep.",Entertainment
"drive and walkway lighting to be turned on when people are using them at night, occupants don't fall and the outside of the house is lit when strangers approach at night..",Safety
"an alert automatic locks on the doors, they could all be locked at once..",Safety
"my smart home to have all the photographs and voices of the people that I want to visit my home recorded and a special tone to be assigned to them when the doorbell rings,,  that unwanted visitors can be avoided..",Safety
"control my blinds with a remote, adjust the light coming in during the day and provide privacy at night.",Energy
"a smart kitchen, it automatically creates a grocery list based on what I use from my fridge, freezer, and pantry..",Entertainment
"entertainment selector, I won't spend a hour trying to figure what to do next.",Entertainment
"a robot that automatically shoots a net at any stranger that comes into my house, i can play around with the net and potentially catch a burglar in the unlikely event.",Energy
"a smart detector for lethal gases or smoke to go to my email and/or phone, even when I am not around I will be notified immediately..",Safety
"to be able to find shows similar to what I am looking to watch, I can avoid looking through every channel on the TV guide.",Entertainment
"my smart home to sense when my pet approaches the pet door and open for the pet to go out and come in, the pet door will not allow access to break ins but only allow my pets in and out.",Safety
"to be alerted whenever my favorite celebrities have a show or movie on tv, I do not miss an airing of my favorite actors and actresses.",Entertainment
"a unit that will control the lights, sounds, temperature and entertainment devices in the house, I can easily control everything in the house.",Entertainment
"to be able to turn on the lights in my house when I am not home, I can make it appear that someone is home..",Safety
"laser lights and toy balls to appear at random intervals, my cats and dogs are entertained when I am away from home.",Entertainment
"a sliding shower head that adjusts to height, my children can take a shower on their own.",Safety
"be able to set up electronic use monthly and have my smart home follow regulations i put forth, my children have guidelines and limited exposure to technology daily..",Safety
"key detection sensor, I cal always find my keys.",Safety
"to keep a buzz on electric wires and other sockets, my children is alerted when touching them accidently.",Safety
"My smart home to keep me entertained, so that I do not get bored.",Entertainment
" Room thermostat sensor,, The room is optimal temperature for an occupant ..",Energy
"my smarthome to switch off All the bulbs after 10 pm automaticaly, we can save wastage of electricity.",Energy
"my smart home to notify me wherever I am whenever someone gets in the pool, I can be aware of safety issues.",Safety
"voice activated mirrors with dispays, I can see my itinerary.",Entertainment
"smart home that integrates with every tv in each room to coordinate viewing, I can streamline my viewing experience.",Entertainment
"A spoken alert, I can be alerted for unauthorized energy use.",Energy
"my phone to signal when my team scores, I can be alerted to a change in score.",Entertainment
"to be able to receive a notification via my smart watch/phone when someone or a vehicle enters the driveway, i can know when someone is outside.",Safety
"my bathtub to automatically fill, and set itself to hot temperature and add a bubble bath solution at the push of a button., when i am being romantic with my wife, we can head to the tub, without the need for interruption..",Entertainment
"my smart home to notify me when my smart phone is full charged, i could remove it and not risk burning out the battery or wasting unnecessary energy .",Energy
"to be alerted when the cabinet locks on my cabinet doors are broken or opened, I know my child is safe.",Safety
"my smart home to track if my pet is inside or outside, I know where she is..",Safety
"an alarm to go off whenever someone who is under a certain height goes in the kitchen, my child wont be able to get into dangerous things in the kitchen. Such as; getting burned on the stove or getting into dangerous chemicals..",Safety
"hot water sensor, i know if the water is too hot for my child.",Safety
"my smart home to alert me to the new releases on Netflix which I add to a watch list each month, I can catch the movies I've been waiting for.",Entertainment
"the lights in the house to be adjustable, so that if I have a party I can set mood lighting, disco balls, or lasers to emit from the lighting features that are already in place in my home at the touch of a button.",Entertainment
"my smart home to alert me when my wife is headed home, I can have dinner ready for her!.",Entertainment
"an interconnected entertainment network, house wide., I can roam the house and multitask, but any program, music, or movie I am watching comes on as I enter the room, and turns off as I leave..",Entertainment
"i want any time my room is weather adjustment , so  i am always relax my home.",Entertainment
"Television that prioritizes my favorite programs, I can enjoy television with friends and family.",Entertainment
"a 360 roaming camera around my house, i can see what is going on without being there and it won't be just stationed in one corner.",Safety
"my heater to turn on when the temperature gets too low , so that my family will stay warm.",Energy
"an alarm on my door, I can tell if my annoying brother or sister tries to come in my room..",Entertainment
"Automatic lights, all the lights' temperature, shade, and position can be controlled with an app.",Energy
"an alert that lets me know when I've left the oven on when not in use, I can prevent a fire and save energy.",Safety
"an automatic fireplace lighter, I do not have to waste time with matches.",Entertainment
"a device that adjusts the tomperature in the house according to the weather, I can save on bills..",Energy
"an app that lets me manage my AC/Heater, I can turn it off and on even if I am outside..",Energy
"outlet control, I can turn off power to an outlet if I leave my hair straightener plugged in after I leave..",Safety
"my TV to provide me with a list of options based on my preset and prioritized preference and automatically beep and change to the best show for me at that time, I don't miss any of my favorite shows and I don't have to spend time manually scrolling through a list of somewhat static options everyday..",Entertainment
"motion lights, I can see any intruders at night as they approach..",Safety
"to be able to control adding more food or water to my pet's dishes remotely, my pet won't run out of food or water while I'm gone.",Safety
"my smart home to have auto sprinklers, automatically watering of plants occurs.",Energy
"The temperature in each room to be monitored, if room is rarely used, keep it at a lower temp, and vice versa, I am not paying to heat a room that is rarely used..",Energy
"my phone to alert me if carbon monoxide levels are outside of the normal range, I can ensure that everyone in the house evacuates and is safe..",Safety
"All power strips to automatically shut off when plugged in devices are fully charged, Eliminate wasting energy via plugs that aren't charging anything.",Energy
"to be notified when my crops need to be watered, i know when to water them.",Energy
"my electronic items to be periodically noted, as it might cause injury to my family members, I can change it or service it at appropriate time, make things for safety.",Safety
"the temperature in the bathroom to adjust , the mirrors in the bathroom begin to defog as soon as the water in the shower stops.",Energy
"smart mirrors that display relevant information when I step in front, such as weather, news, sports scores, etc., my day can start off better..",Entertainment
"my smart home to sense my pet coming up to the door to open and let the pet outside.  Then open when he comes in from the outside and closes and relocks., I can be sure my home is secure and my pet can be active.",Safety
"house that records my favorite tv shows for me if I am not sitting on the couch,, I don't have to remember to schedule a recording..",Entertainment
"a closet that straightens up the coats as we throw them in there, It is more tidy.",Entertainment
"sensors that tell me if someone or something leaves my house, I know if my kids are going outside if I am in another room.",Safety
"voice-activated lights, I can turn on and off the lights wherever I am in the room..",Energy
"all lights in the house to respond to voice commands, I can easily turn them on and off when entering or leaving a room at night..",Safety
"a coaster that keeps my beverage cold as if there was ice in it, It can stay cold and I won't waste more water by refilling with ice.",Energy
"Keyless Digital Door Lock, I don't have to carry keys with me..",Safety
"individual room thermostats, I can control different temperatures in different rooms depending on usage..",Energy
"the ability to tell a door in a room to open or close, plus lock, I can walk into or out of a room when my hands are full.",Entertainment
"my smart phone to make movie and tv show recommendations based on previous choices, we can discover more entertainment choices..",Entertainment
"remote light access, I can turn my lights on or off for my cats when I am not at home if it gets dark or daylight..",Energy
"a internet radio streaming live broadcasting world wide to play according to my voice, I can enjoy my favorite music and play.",Entertainment
"measurements of what each appliance draws in voltage, I can conserve energy.",Energy
"the thermostat to automatically detect when we are in REM sleep to decrease the temperature, we save money and energy.",Energy
"a station that can automatically make biodiesel for my car, I can have really cheap gasoline to power my car..",Energy
"a TV that turns on at a specific time, to a specific channel, at a specific volume , I wake up watching exactly what I want..",Entertainment
"a device that can greet me and hold conversations with me in any room in the house and in the yard, I can be entertained and have answers to questions..",Entertainment
"my smart house to alert me about stppages in gutters and downspouts, flooding and water damage can be avoided..",Safety
"my home to notify me if carbon dioxide levels exceed a certain level, I can make sure that family will be safe.",Safety
"a smart coffee machine, my coffee will be ready in the morning when i ask it to be without having to deal with making it myself.",Entertainment
"nice instrumental music to get turned on in the bathroom whenever I enter it, I can enjoy music while in the bathroom taking a shower..",Entertainment
"algorithm suggestions, in any room suggestions like because you choose this _____, you might also enjoy ______.",Entertainment
"auto shut down feature for everything when we leave the home , we save  money on energy .",Energy
"to be able to view all my homes systems from my smart phone, I can adjust these setting from anywhere..",Energy
"my smart home to be full of sunlight and moonlight by transparent walls whenever i need it i can manage the opesity, i can enjoy the nature.",Entertainment
"lights that turn on when someone approaches, so that I can see people outside my home.",Safety
"smart carbon monoxide detectors, I can see the amount of carbon monoxide in each room in my house on a smartphone/tablet while I'm away from my home to make sure my family is ok.",Safety
"my smart home to remind my kids to do their homework, they do their homework before watching tv or going on the internet..",Entertainment
"a thermostat that learns my schedule and self-adjusts, I know I am saving as much as possible on my home heating costs..",Energy
"an app that tells me if my child gets near a dangerous appliance like a stove, safety for my child.",Safety
"smart box to manage internet cabling, I can change how the internet is wired in the house.",Entertainment
"an alarm that will sound my room really loud, I can wake up on time regardless of how I feel.",Entertainment
"a sensor that will sound an alarm if my dog escapes through the fenced backyard or something happens to hurt my pet, I will be confident they are safe outside..",Safety
"to know when the water in the tank is going to fill., so that water can be saved from pouring from it..",Energy
"my pool to automatically cover itself when my child is playing outside, they will not fall in or rown.",Safety
"I want the lights turned off after 6 am if nobody is at home, none will know that nobody is not at home..",Safety
"Solar panels, I can save on electricity and reduce my carbon imprint.",Energy
"a search engine voice activated with a display on a wall, i can quick search something in a conversation.",Entertainment
"Home outside monitors alert me if someone approaches my home, So I can be safe..",Safety
"my house to wake me up in the morning, i can go to work.",Entertainment
"my smart home to store all of my recipes and be able to recite them to me step by step as I cook, I can find and make meals easily.",Entertainment
"the lights to go off if there is movement in an hour, we can save energy.",Energy
"a coffee maker that I can start from my smartphone, I can get my coffee started without getting out of bed..",Entertainment
"a smart washing machine that turns on automatically or by remote command, the clothes are washed and ready to be placed in the dryer by the time I get home from work.",Energy
"to know if my EV is charged fully or how much time is left for full charge, I know if I can take a trip yet.",Energy
"Room thermostats, Protect the room temperature.",Energy
"a gas detector, if there's carbon monoxide or other poisonous gases inside, the authorities are notified.",Safety
"music everywhere in the house where guests are, guests can enjoy the music at a party.",Entertainment
"automatic locking doors, doors will lock automatically but unlock when I touch the knob via fingerprint sensor.",Safety
"automatic window screens, I can switch them out at the turn of the season without much work. .",Energy
"an alert on my phone when my child leaves the house , i can know when my child is leaving .",Safety
"to be able to have a robot with cameras on it roam my house at my control., I can see what's going on with my children when i'm not home..",Entertainment
"my smart home to alert me when my children are not home by their usual time, I will know if they have gone missing.",Safety
"my home to alert me if my dog gets out of the yard, I can promptly retrieve my dog to prevent danger to my dog or to any people who might encounter him.",Safety
"integrated smart electronics, I only need one remote and devices are easy to operate.",Entertainment
"my smart home to alert the fire department if a fire is detected,, my home and valubles don't burn down..",Safety
"my music player to work in conjunction with the lights, to set the mood for when I am entertaining.",Entertainment
"I want the lights to automatically turn off each time I leave a room, I will save energy by not having uneeded lights on.",Energy
"my smart home to make recommendations when new movies come out that match my viewing habits, I will benefit from movie suggestions that I will probably enjoy..",Entertainment
"a buzzer for when the door rings, i can tell when i have headphones on.",Entertainment
"my fridge or freezer to automatically shut if I leave it open, I save on energy and my food doesn't get spoiled..",Energy
"motion dectectors to monitor movement, and shut off lights and non-essential appliances if none is detected after a certain time, i can save money and conserve .",Energy
"my electronic appliances to automatically turn themselves off, I can save on electricity.",Energy
"my smart home to ring bell in all over the home , so that all member can wake at time..",Entertainment
"lights that shut off when i leave the room, it will save electricty.",Energy
"monitor when the baby is waking up from sleep, turn my concentration towards by baby.",Safety
"an emergency alarm which send messages to pre selected numbers, i can alert others something is wrong..",Safety
"my smart home to alert me when my cat enters or leaves the house, I have a better idea where the pet is (and don't spend hours searchign inside, when the cat is actually outside).",Entertainment
"an alert when someone comes to the door, I can see who is there..",Safety
"to be able to alert others about where the cat is,  he doesn't run outside.",Safety
"my smart home  to to turn on the tv when I get home, I can relax as soon as possible.",Entertainment
"my shower to play music when I turn it on., my showers are more fun..",Entertainment
"my smart home to automatically start radio in specific timings , I can't miss any favorite radio songs .",Entertainment
"automatic doors, they require a finger print or voice command to open.",Safety
"An alarm system that will warn me when my toilet is about to get clogged up, People can assess the problem before the clog happens.",Safety
"to control tv consumption from my phone, my kids cant watch all the time.",Entertainment
"an auto feature that will remind me to change water sofner , so that we dont ever go without warm water.",Safety
"my doors to lock up automatically after a mentioned time, we can prevent theft and other burglary .",Safety
"cabinets to lock and unlock based on a hand print or thumbprint, baby locks wouldn't be necessary .",Safety
"to have high resolution and night vision camera for my baby, I know the second my baby is up and moving.",Safety
"a siri like feature where my house can google things, I can have a talking house..",Entertainment
"My smart home to alert me when the children are not watching the proper television programs., I can supervise my children without needing to actually spend time with them..",Entertainment
"a device that can charge electric cars, guests can charge their car while they are at my house.",Energy
"my smart home to recognize stress words that automatically cue appropriate music from the stereo, I can calm down.",Entertainment
"my closet to put forth clothing that is appropriate for the weather, I don't have to dig out the clothes I need, saving me time..",Entertainment
"the temperature to adjust by voice command, when I shower, I do not get scalded..",Safety
"my smart home to turn off the oven after a certain time, I wont burn the food.",Safety
"my smart home to monitor and remember local outdoor temperatures and calculate degree heating days (or degree cooling days), I can accurately gauge my monthly energy use for heating and cooling..",Energy
"the humidifier in my son's room to turn on and off at certain time overnight, he remains healthy from the moisture but, there isn't so much that the room becomes overly humid.",Energy
"lights that turn off in rooms when there is no movement detected in a certain amount of minutes, it cuts down on energy costs.",Energy
"a thermostat that monitors my sleeping and adjusts the temperature according to my sleep cycle, I can save money by having the heat go down when I am asleep but so that if I wake up I will be warmed up soon..",Energy
"smart home to sense when my car needs to be washed and wash it in the modified garage using recycled water, my car is always clean and water is not wasted.",Energy
"a home that's interactive for my kids, they will not be bored..",Entertainment
"to control the temperature of my water heater, I can save energy costs..",Energy
"my car to send an alert to my smartphone if I forget to lock it, I will prevent breakins..",Safety
